time: 2026-04-02 08:46:40, ID: 5658b288-387e-4938-8491-ad95ae5c3426, name: Ska-BLAM / Yoko & the Gold Bazookas
time: 2026-04-02 08:46:45, ID: a2afd8f2-8a06-4099-a074-45f6ead08ff9, name: Liquid Sunshine（大型祭典） / 麻辣鱿物
time: 2026-04-02 08:46:45, ID: 8fdfa75c-9211-4505-a946-61b68d1a2b9e, name: We're So Back（大型祭典） / 腕儿姐妹
time: 2026-04-02 08:46:45, ID: 5fb0d3dc-21fd-4886-a27e-e8acd866b242, name: Fest Zest (大型祭典) / 腕儿姐妹
time: 2026-04-02 08:46:45, ID: 3f16b41c-635b-48a2-ab96-3d8fd1997d4a, name: Inkopolis Punch / 麻辣鱿物
time: 2026-04-02 08:46:45, ID: e496d777-7d65-4de1-a276-adf084257382, name: Stamp Kick / 麻辣鱿物
time: 2026-04-02 08:46:45, ID: 83918359-5a6c-432f-a085-37fcc3fb802f, name: Rainbow Color Inkantation / Now or Never Seven
time: 2026-04-02 08:46:45, ID: fbf2d47e-fbf9-4ac4-9c71-4e485989a1cb, name: Blushing Tide / 麻辣鱿物
time: 2026-04-02 08:46:45, ID: 259d7e70-1b78-4bad-89c9-cda6d2ca9906, name: Crab-N-Go（大型祭典）
time: 2026-04-02 08:46:45, ID: 69bdab41-627a-4525-8fcb-3ea90826d65a, name: Tomorrow's Nostalgia Today（大型祭典） / 麻辣鱿物
time: 2026-04-02 08:46:46, ID: 5748a65b-adef-4b90-a654-f19dce9402b1, name: Party's Over (大型祭典) / 腕儿姐妹
time: 2026-04-13 09:07:21, ID: b0eecde6-9518-4bf5-b105-20a5f033aae5, name: Marina Stadium
time: 2026-04-13 09:07:21, ID: 31b5e5a0-a85c-4138-90c6-c4fef6a9ad2c, name: Bask Ruins
time: 2026-04-13 09:07:21, ID: 6a2a3907-f0af-4e1a-bc43-560dc13bf923, name: Title Screen
time: 2026-04-13 09:07:21, ID: dc4df2ff-f644-412c-a69f-8adb918f6fa0, name: World Map
time: 2026-04-13 09:07:21, ID: e1b5a8e8-a51d-46df-955f-16af3c43cc1f, name: Temple of Bask
time: 2026-04-13 09:07:21, ID: 1ea49525-edc4-4bde-acaf-1dcb83832cab, name: Results (Victory)
time: 2026-04-13 09:07:22, ID: 56f26a4b-d890-456b-b267-b25e7e48fbd0, name: Break Point
time: 2026-04-13 09:07:22, ID: 1c4fc73a-72fa-405d-8991-715e8700d362, name: Savage Sea
time: 2026-04-13 09:07:22, ID: 594f95f8-bf94-4751-8e42-66639393dd84, name: Challenges
time: 2026-04-13 09:07:22, ID: 2fe15017-566f-484a-a7f2-4b6d7f533d10, name: Game Point
time: 2026-04-13 09:07:22, ID: 4ce9cdb6-a6df-4853-a256-4a3d35554f65, name: Piranha Plant Forest
time: 2026-04-13 09:07:22, ID: be6eae9c-4ae8-4999-838f-2a485c3311b2, name: Mirage Mansion
time: 2026-04-13 09:07:22, ID: b7e6dd62-b93d-4f29-85d9-fdceefb6b669, name: Aster's Theme
time: 2026-04-13 09:07:22, ID: a5be809c-e3c3-4b8a-8e08-3a94199e2fd6, name: Boss Battles
time: 2026-04-13 09:07:22, ID: 7c799114-1dc6-42e4-a749-7eff8ef7a239, name: Results (Defeat)
time: 2026-04-13 09:07:22, ID: 219ad9fa-d26b-4064-8d74-5afebaf0587f, name: Match Point
time: 2026-04-13 09:07:22, ID: 797d70bf-b54d-4d0a-ad57-cb09def49e9d, name: Staff Credits
time: 2026-04-13 09:07:22, ID: 508aa403-f31c-4552-80c6-cb2240b39c1c, name: Tiebreaker
time: 2026-04-13 09:07:22, ID: b4555842-ea01-4584-bc98-80c8e3cea6a9, name: Inferno Island
time: 2026-04-13 09:07:22, ID: f0331cc2-9dd3-451d-b557-03743542e4fd, name: Snowfall Mountain
time: 2026-04-13 09:07:22, ID: 2d346cc2-0f4c-499c-8eea-e1fdd7e021ac, name: Staff Credits (Jingle)
time: 2026-04-13 09:07:22, ID: 9733327d-23ce-48d8-be7d-060ee8bba9f2, name: Set Point
time: 2026-04-13 09:07:22, ID: bc91f737-f594-4be7-819d-8e67fae3ce32, name: Lucien's Theme
time: 2026-04-13 09:07:22, ID: 23e7b0f0-ce98-4898-abaa-aafc9679ccbc, name: Final Battle
time: 2026-04-13 09:07:22, ID: 3febbccc-53d0-4631-a59f-fb1394353972, name: Tournament
time: 2026-04-13 09:07:22, ID: e8169d9a-b7d0-4c92-a843-e02681e5da22, name: Awards Ceremony
time: 2026-04-13 09:07:23, ID: a9120136-74d1-4d2d-b9d0-acb2c4e48338, name: True Squeak Squad Theme
time: 2026-04-13 09:07:23, ID: 21381c86-2b90-4351-a059-cfaa7245e7c2, name: Squeak Squad Title Screen — Star Allies Arrangement
time: 2026-04-13 09:07:23, ID: 3a047e84-cdda-4176-b083-3cb5d3326a9a, name: Drawcia Soul — Star Allies Short Ver. (Kirby: Canvas Curse)
time: 2026-04-13 09:07:23, ID: d5020f6d-44d8-41ff-9a58-de35243be3f5, name: Sub-Tree Area (Kirby Super Star)
time: 2026-04-13 09:07:23, ID: 841eb4dd-fe7b-4986-9ff8-42dcc233b769, name: Milky Way Wishes (Kirby Super Star)
time: 2026-04-13 09:07:23, ID: 82dc93bc-2fd4-43ce-88b3-372b11c5c8d9, name: Opening Theme
time: 2026-04-13 09:07:23, ID: 22394a1c-20d8-431a-af5c-33f736b8342b, name: On the Train
time: 2026-04-13 09:07:23, ID: 21732040-3cb1-42bf-93d6-f29ec1f790e8, name: Meeting Tom Nook
time: 2026-04-13 09:07:23, ID: ad23e6cb-9414-4304-8012-9d0a912c7227, name: Opening Theme (Doubutsu no Mori e+)
time: 2026-04-13 09:07:23, ID: 42479c23-59fb-4826-acac-bab8ed5c80d1, name: 1:00 AM - Clear
time: 2026-04-13 09:07:23, ID: bd2f0940-f0a1-4d1c-8253-521c95e41506, name: It's Your Village
time: 2026-04-13 09:07:23, ID: b7fe5828-5536-42a5-9727-d392dde691c9, name: Decided on a House!
time: 2026-04-13 09:07:23, ID: 8014974a-f1d9-47e6-a0de-391b3ddfb309, name: 12:00 AM - Clear
time: 2026-04-13 09:07:23, ID: 0104eaf1-d26e-40cb-843c-ee46f97beec3, name: Done Working
time: 2026-04-13 09:07:23, ID: e483c458-714b-4fbe-8b4d-4816fb3986dc, name: Part-Time Job
time: 2026-04-13 09:07:23, ID: cbf179e2-2880-4cfc-86c5-7e918c93001e, name: Arrived at the Village
time: 2026-04-13 09:07:24, ID: ef9a5681-9402-4314-915e-9217b22e41a5, name: 4:00 AM - Clear
time: 2026-04-13 09:07:24, ID: b0a8b1f3-0ff2-42cc-b136-cbc542fcb9a5, name: 11:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 4a8e9317-d615-4ce4-a73d-c1a7da83e952, name: 6:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 2c2f22b6-0c93-46c7-9f01-e1e1cef8435a, name: 8:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 60fcccbb-e16c-4e74-bc01-9ede8abc1b68, name: 2:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 64ecb3e8-0557-4b94-ba9c-f111b2e0d1f4, name: 10:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 207b94e5-8440-477a-a727-c0347522117b, name: 7:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 17b7c9c5-21bd-4ab7-b919-73a0b6432176, name: 3:00 AM - Clear
time: 2026-04-13 09:07:24, ID: f3212029-1986-4dca-a48c-682357be3af1, name: 5:00 AM - Clear
time: 2026-04-13 09:07:24, ID: 205cb554-c1ff-4314-9ecd-3432f1ac7e01, name: 9:00 AM - Clear
time: 2026-04-13 09:07:24, ID: bbeff6ad-9bd0-45ed-9b16-ed62776e3ffd, name: 1:00 PM - Clear
time: 2026-04-13 09:07:24, ID: 4d63a541-351a-418b-8661-53f7b798d4d0, name: 4:00 PM - Clear
time: 2026-04-13 09:07:24, ID: fc769cc8-621a-42a6-a3af-0b9102f14638, name: 12:00 PM - Clear
time: 2026-04-13 09:07:24, ID: 4e778f3b-4ca5-467b-b3de-0944d2095cb9, name: 3:00 PM - Clear
time: 2026-04-13 09:07:24, ID: 75d95e99-24c0-4a21-8a00-cee3c47cfd19, name: 8:00 PM - Clear
time: 2026-04-13 09:07:24, ID: 9f63b949-958c-49ff-bb8d-48576e0ca196, name: 6:00 PM - Clear
time: 2026-04-13 09:07:24, ID: 2c32351b-a5d0-4cea-8446-c01fa2fa6840, name: 9:00 PM - Clear
time: 2026-04-13 09:07:24, ID: d155acdd-7c32-4804-b1d6-7a8655a688b6, name: 2:00 PM - Clear
time: 2026-04-13 09:07:24, ID: b205e5a2-93e3-4a7a-893b-9239d22c9a92, name: 7:00 PM - Clear
time: 2026-04-13 09:07:24, ID: b2a3692a-0abc-49b5-915d-4e1247c2a9e4, name: 5:00 PM - Clear
time: 2026-04-13 09:07:25, ID: f9b7ecb3-a0e4-42d9-99cb-4a5c73819a91, name: 5:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: dbf1b6e4-e6a7-4cf1-b43a-5a908a4ede3c, name: 10:00 PM - Clear
time: 2026-04-13 09:07:25, ID: b1d5033a-b559-4ee7-9d59-f415bfb44b46, name: 1:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: da675535-fe5a-4995-9825-a55204ee92f9, name: 2:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: 38677ad7-0bda-47f5-a85c-388bb35b9b13, name: Rainy Day
time: 2026-04-13 09:07:25, ID: 3ba6c13e-d314-400a-8772-45d36be06ed5, name: 3:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: 41ce3dc0-ff3d-46de-b15e-c787e6b46ed5, name: 11:00 PM - Clear
time: 2026-04-13 09:07:25, ID: 3e3f2ce6-e0d4-4155-9700-731a67ee4da9, name: 12:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: c250f852-cf8f-41d2-b2ee-7bac6c3e6dde, name: 6:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: d812a482-649d-418e-bf96-f36b97a881f0, name: 4:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: 2062b233-1627-4f7b-8ac1-b5efe06c62f1, name: 11:00 AM - Snowy
time: 2026-04-13 09:07:25, ID: 71e97630-5151-43ad-8d22-f94fca27f3cd, name: 12:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: f8da61eb-11bf-47af-bcd9-1121bf3783be, name: 10:00 AM - Snowy
time: 2026-04-13 09:07:26, ID: 399376e1-9e0c-4fb7-a7a9-9a79ae9783d8, name: 3:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: 7a140fc8-cc32-4828-a018-c0db4cb92f63, name: 4:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: 3d03a151-b18d-472f-96c1-fc340dbc9025, name: 2:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: d767bec1-890b-40ff-8892-669ee2f85253, name: 7:00 AM - Snowy
time: 2026-04-13 09:07:26, ID: 4b86566a-655f-4aa4-ba0f-9530cb516cfd, name: 8:00 AM - Snowy
time: 2026-04-13 09:07:26, ID: 79db2e69-80b1-417e-ac1a-af7bb692ec47, name: 1:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: aeb02865-4861-436f-bf48-97337ed3416e, name: 9:00 AM - Snowy
time: 2026-04-13 09:07:26, ID: 174c0ecc-5cf2-4c3f-b4a6-78bd9cee0e0e, name: 11:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: a7138bea-d8c7-4369-9465-01050b7bac7c, name: 7:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: 11153cbd-a028-4ca8-a2f1-1b79e4b474a5, name: 10:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: 7a6d7bf3-2c2d-4b6b-af0d-edf8fed63c92, name: 8:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: aa3a953f-6f65-4e47-a620-5d4b7d9b4a78, name: 9:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: ea14bd02-7882-4237-a3c7-17d7ce2b4b1c, name: 1:00 AM - Spring
time: 2026-04-13 09:07:26, ID: e306168a-b2b2-493d-9279-c1484145f849, name: 2:00 AM - Spring
time: 2026-04-13 09:07:26, ID: c704b461-81e4-428e-aba1-5c688f28086c, name: 12:00 AM - Spring
time: 2026-04-13 09:07:26, ID: aa7f1446-3644-4f87-a5b3-d6b30c8b649e, name: 6:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: b6ef5317-fce5-4106-ad90-919ec352a4ae, name: 5:00 PM - Snowy
time: 2026-04-13 09:07:26, ID: 060aa73f-b879-4513-95a6-5ed889236967, name: 3:00 AM - Spring
time: 2026-04-13 09:07:26, ID: 2ee1af36-e1ee-493a-a7b8-80c22de2c9a9, name: 4:00 AM - Spring
time: 2026-04-13 09:07:26, ID: 2f2b46e2-98c7-4b48-9460-d840d87e9b13, name: 5:00 AM - Spring
time: 2026-04-13 09:07:26, ID: e861c858-281e-4974-8bf3-03fb45496876, name: 12:00 PM - Spring
time: 2026-04-13 09:07:26, ID: 32d20996-2c3d-4e81-8ecc-6c38b1feec0e, name: 8:00 AM - Spring
time: 2026-04-13 09:07:26, ID: 92e8e1c1-0c20-4253-a898-875a8f187024, name: 9:00 AM - Spring
time: 2026-04-13 09:07:26, ID: 8cd7fef2-ab72-49c1-8a97-27cb3c1dca77, name: 11:00 AM - Spring
time: 2026-04-13 09:07:26, ID: b313580a-00f1-42c8-935c-47ec16a1a543, name: 10:00 AM - Spring
time: 2026-04-13 09:07:26, ID: 5d5517d0-53ba-4d18-aea1-3c60c87a2357, name: 6:00 AM - Spring
time: 2026-04-13 09:07:26, ID: 12c57e5a-55a9-45db-bba1-dc08f34b16f9, name: 7:00 AM - Spring
time: 2026-04-13 09:07:27, ID: 3e81534e-4600-4cc1-bc09-12ad04df63bf, name: 1:00 PM - Spring
time: 2026-04-13 09:07:27, ID: 3180da8c-f922-4092-a8ca-e9e7c12cd988, name: 8:00 PM - Spring
time: 2026-04-13 09:07:27, ID: 616b8191-ad59-464c-8aa3-54b931b85cda, name: 9:00 PM - Spring
time: 2026-04-13 09:07:27, ID: 2b0561dd-55e7-44f4-adec-003d103ba556, name: 7:00 PM - Spring
time: 2026-04-13 09:07:27, ID: 4f5541fd-724c-4c76-a0b8-e6006b508e66, name: 6:00 PM - Spring
